Reg_No,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9
CE306,,,,,,,,,
CE334,,,,,,,,,
CE308,,,,,,,,,
CE352,,,,,,,,,
HS300,,,,,,,,,
CE362,,,,,,,,,
CE302,,,,,,,,,
CE366,,,,,,,,,
CE368,,,,,,,,,
CE304,,,,,,,,,
CE332,,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
MAC15CE041,HS300(A+), CE302(B+), CE304(B+), CE306(B+), CE308(B+), CE366(A), CE332(B+), CE334(B+),
MAC15CE042,HS300(B+), CE302(A+), CE304(B+), CE306(C), CE308(A+), CE362(B), CE332(B+), CE334(B),
MAC15CE043,HS300(A), CE302(B+), CE304(B), CE306(F), CE308(B+), CE366(B), CE332(A), CE334(B),
MAC15CE044,HS300(B), CE302(B), CE304(F), CE306(B+), CE308(B), CE366(A), CE332(A), CE334(B+),
MAC15CE045,HS300(B+), CE302(B+), CE304(B+), CE306(B), CE308(A+), CE366(A), CE332(B+), CE334(A),
MAC15CE046,HS300(B+), CE302(C), CE304(F), CE306(F), CE308(F), CE366(B+), CE332(B+), CE334(B),
MAC15CE049,HS300(C), CE302(B), CE304(C), CE306(F), CE308(C), CE362(B), CE332(B), CE334(C),
MAC15CE050,HS300(A), CE302(A+), CE304(B+), CE306(C), CE308(A), CE362(B+), CE332(B+), CE334(B+),
MAC15CE051,HS300(FE), CE302(FE), CE304(FE), CE306(FE), CE308(FE), CE366(FE), CE332(I), CE334(I),
MAC15CE052,HS300(A), CE302(A), CE304(B+), CE306(B), CE308(B+), CE366(A+), CE332(B+), CE334(B+),
MAC15CE053,HS300(B), CE302(B+), CE304(C), CE306(B), CE308(C), CE362(B+), CE332(B+), CE334(B+),
MAC15CE054,HS300(A), CE302(B+), CE304(B+), CE306(B), CE308(A), CE366(A), CE332(A), CE334(B+),
MAC15CE055,HS300(B+), CE302(B+), CE304(B), CE306(B), CE308(B+), CE366(B+), CE332(B+), CE334(A),
MAC15CE056,HS300(O), CE302(A+), CE304(A), CE306(B+), CE308(O), CE366(O), CE332(A+), CE334(O),
MAC15CE057,HS300(A), CE302(B+), CE304(B+), CE306(B), CE308(A+), CE366(A), CE332(A), CE334(A+),
MAC15CE058,HS300(C), CE302(C), CE304(F), CE306(C), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE060,HS300(A+), CE302(B+), CE304(F), CE306(C), CE308(B), CE362(B+), CE332(B+), CE334(A+),
MAC15CE061,HS300(B+), CE302(B), CE304(B), CE306(C), CE308(C), CE362(B), CE332(B+), CE334(B+),
MAC15CE062,HS300(B+), CE302(B+), CE304(B+), CE306(B), CE308(B), CE362(B), CE332(B+), CE334(A),
MAC15CE063,HS300(B), CE302(B+), CE304(B), CE306(B), CE308(A+), CE362(B), CE332(B+), CE334(C),
MAC15CE064,HS300(A), CE302(B+), CE304(B), CE306(B), CE308(A), CE366(A), CE332(B+), CE334(B+),
MAC15CE065,HS300(A), CE302(A), CE304(B+), CE306(B+), CE308(B+), CE362(B+), CE332(B+), CE334(B+),
MAC15CE066,HS300(B), CE302(C), CE304(F), CE306(F), CE308(F), CE362(B+), CE332(B+), CE334(B+),
MAC15CE068,HS300(O), CE302(B+), CE304(B+), CE306(B), CE308(A), CE366(O), CE332(B), CE334(A),
MAC15CE069,HS300(O), CE302(B), CE304(B+), CE306(B), CE308(B+), CE366(A+), CE332(B), CE334(B+),
MAC15CE070,HS300(B+), CE302(B), CE304(B), CE306(C), CE308(B), CE362(B+), CE332(B+), CE334(B+),
MAC15CE071,HS300(B+), CE302(B+), CE304(B), CE306(B), CE308(B+), CE366(B+), CE332(B+), CE334(A),
MAC15CE072,HS300(B+), CE302(B), CE304(B), CE306(B), CE308(B), CE362(B+), CE332(B+), CE334(B+),
MAC15CE073,HS300(B+), CE302(A), CE304(C), CE306(F), CE308(B), CE362(B), CE332(B), CE334(B+),
MAC15CE074,HS300(B+), CE302(B), CE304(B), CE306(F), CE308(B), CE362(B), CE332(B+), CE334(B+),
MAC15CE075,HS300(B+), CE302(F), CE304(F), CE306(C), CE308(B), CE366(A), CE332(B), CE334(B+),
MAC15CE076,HS300(B), CE302(B), CE304(C), CE306(F), CE308(B), CE366(B), CE332(B+), CE334(B),
MAC15CE077,HS300(A+), CE302(B+), CE304(A+), CE306(B), CE308(O), CE366(A+), CE332(B+), CE334(A),
MAC15CE078,HS300(A+), CE302(F), CE304(A), CE306(B), CE308(A), CE362(A), CE332(A), CE334(B+),
MAC15CE079,HS300(B), CE302(C), CE304(F), CE306(B), CE308(C), CE362(F), CE332(B+), CE334(B+),
MAC15CE082,HS300(C), CE302(C), CE304(C), CE306(F), CE308(C), CE362(C), CE332(B), CE334(B+),
MAC15CE083,HS300(A), CE302(B+), CE304(B), CE306(B), CE308(B+), CE366(A), CE332(B), CE334(B+),
MAC15CE084,HS300(B+), CE302(B), CE304(B+), CE306(F), CE308(B), CE362(B+), CE332(B), CE334(B),
MAC15CE085,HS300(B), CE302(C), CE304(B), CE306(B), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE086,HS300(A+), CE302(B+), CE304(A+), CE306(B), CE308(A), CE362(A+), CE332(B+), CE334(A+),
MAC15CE089,HS300(B), CE302(F), CE304(F), CE306(B), CE308(C), CE366(B), CE332(B+), CE334(A),
MAC15CE090,HS300(B+), CE302(C), CE304(B), CE306(B), CE308(B+), CE368(B), CE332(B+), CE334(A+),
MAC15CE092,HS300(B+), CE302(B+), CE304(B), CE306(B+), CE308(B), CE362(B+), CE332(B), CE334(B+),
MAC15CE093,HS300(O), CE302(A), CE304(A), CE306(A+), CE308(A+), CE366(A+), CE332(B+), CE334(A),
MAC15CE094,HS300(A), CE302(A), CE304(B), CE306(C), CE308(B), CE362(B), CE332(B), CE334(B+),
MAC15CE095,HS300(B+), CE302(B+), CE304(B), CE306(B), CE308(B+), CE362(B), CE332(B+), CE334(B),
MAC15CE096,HS300(B), CE302(A+), CE304(B), CE306(B+), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE097,HS300(A+), CE302(A+), CE304(B+), CE306(B+), CE308(B+), CE366(B+), CE332(A), CE334(B+),
MAC15CE098,HS300(A+), CE302(B), CE304(C), CE306(B), CE308(B), CE362(A), CE332(B+), CE334(B+),
MAC15CE099,HS300(O), CE302(A), CE304(B+), CE306(O), CE308(O), CE362(A+), CE332(B+), CE334(A),
MAC15CE100,HS300(A+), CE302(B+), CE304(B), CE306(B+), CE308(O), CE366(A+), CE332(B+), CE334(A),
MAC15CE101,HS300(B), CE302(B+), CE304(B), CE306(B+), CE308(A), CE362(B), CE332(B+), CE334(A),
MAC15CE102,HS300(O), CE302(O), CE304(B+), CE306(B), CE308(A+), CE362(A+), CE332(B+), CE334(A),
MAC15CE103,HS300(F), CE302(FE), CE304(F), CE306(F), CE308(F), CE362(C), CE332(B+), CE334(B+),
MAC15CE104,HS300(A), CE302(O), CE304(B), CE306(C), CE308(A), CE366(A+), CE332(B+), CE334(B+),
MAC15CE105,HS300(B), CE302(B), CE304(B), CE306(B), CE308(B+), CE362(B+), CE332(B+), CE334(B+),
MAC15CE106,HS300(B), CE302(B+), CE304(C), CE306(B), CE308(A), CE366(B+), CE332(B+), CE334(B+),
MAC15CE108,HS300(A+), CE302(A+), CE304(B), CE306(B+), CE308(A+), CE362(B+), CE332(B+), CE334(A),
MAC15CE109,HS300(B+), CE302(B), CE304(F), CE306(B), CE308(B+), CE362(C), CE332(B+), CE334(B),
MAC15CE110,HS300(B+), CE302(B), CE304(B), CE306(B), CE308(B+), CE362(A), CE332(A), CE334(B+),
MAC15CE111,HS300(B), CE302(B+), CE304(B), CE306(C), CE308(B), CE366(A), CE332(B), CE334(A),
MAC15CE112,HS300(B+), CE302(A+), CE304(B), CE306(B+), CE308(B+), CE366(B+), CE332(B+), CE334(A),
MAC15CE113,HS300(C), CE302(B), CE304(C), CE306(F), CE308(B+), CE366(B+), CE332(B+), CE334(B+),
MAC15CE114,HS300(A+), CE302(B+), CE304(C), CE306(C), CE308(B+), CE366(A), CE332(B+), CE334(B+),
MAC15CE115,HS300(F), CE302(F), CE304(F), CE306(F), CE308(B), CE362(C), CE332(B+), CE334(B+),
MAC15CE116,HS300(C), CE302(B), CE304(C), CE306(F), CE308(B), CE362(B), CE332(B+), CE334(B+),
MAC15CE117,HS300(B+), CE302(A+), CE304(B), CE306(C), CE308(B+), CE366(A+), CE332(B+), CE334(B+),
MAC15CE118,HS300(B+), CE302(B+), CE304(F), CE306(P), CE308(B), CE366(B+), CE332(A), CE334(B+),
MAC15CE119,HS300(O), CE302(A), CE304(B), CE306(B), CE308(B+), CE362(O), CE332(A+), CE334(A),
MAC15CE120,HS300(A), CE302(A), CE304(Debarred), CE306(F), CE308(B+), CE362(B+), CE332(B+),,
MAC15CE121,HS300(P), CE302(F), CE304(F), CE306(B), CE308(F), CE362(B), CE332(B+), CE334(P),
MAC15CE122,HS300(C), CE302(P), CE304(B), CE306(F), CE308(C), CE362(F), CE332(B+), CE334(B),
MECHANICAL ENGINEERING[Full Time],,,,,,,,,
Course Code,Course,,,,,,,,
ME306,ADVANCED MANUFACTURING TECHNOLOGY,,,,,,,,
ME334,MANUFACTURING TECHNOLOGY LAB II,,,,,,,,
ME352,COMPREHENSIVE EXAM,,,,,,,,
ME312,METROLOGY AND INSTRUMENTATION,,,,,,,,
ME368,MARKETING MANAGEMENT,,,,,,,,
ME302,HEAT & MASS TRANSFER,,,,,,,,
ME374,THEORY OF VIBRATION,,,,,,,,
ME372,OPERATIONS RESEARCH,,,,,,,,
ME304,DYNAMICS OF MACHINERY,,,,,,,,
ME332,COMPUTER AIDED DESIGN & ANALYSIS LAB,,,,,,,,
HS300,PRINCIPLES OF MANAGEMENT,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
LMAC15ME127,ME302(F), ME304(F), ME368(B), ME332(A), ME306(A), ME308(B), ME312(B+), ME334(B+),
,ME352(B),,,,,,,,
LMAC15ME128,ME302(P), ME304(P), ME368(B), ME332(A), ME306(B), ME308(P), ME312(B), ME334(A),
,ME352(P),,,,,,,,
LMAC15ME129,ME302(FE), ME304(F), ME368(B), ME332(B), ME306(B+), ME308(F), ME312(C), ME334(C),
,ME352(C),,,,,,,,
LMAC15ME130,ME302(F), ME304(B), ME368(B), ME332(B+), ME306(B+), ME308(B), ME312(B), ME334(A),
,ME352(B),,,,,,,,
LMAC15ME131,ME302(F), ME304(F), ME368(B), ME332(A), ME306(C), ME308(F), ME312(B+), ME334(B+),
,ME352(B),,,,,,,,
LMAC15ME132,ME302(F), ME304(F), ME368(B), ME332(A), ME306(B+), ME308(C), ME312(B+), ME334(B+),
,ME352(B),,,,,,,,
LMAC15ME133,ME302(F), ME304(F), ME368(C), ME332(B+), ME306(C), ME308(F), ME312(B), ME334(A),
,ME352(C),,,,,,,,
LMAC15ME134,ME302(F), ME304(B), ME368(B+), ME332(A), ME306(B+), ME308(B), ME312(B+), ME334(A),
,ME352(B),,,,,,,,
LMAC15ME135,ME302(F), ME304(C), ME368(B), ME332(B+), ME306(A), ME308(B), ME312(B+), ME334(A),
,ME352(C),,,,,,,,
LMAC15ME136,HS300(B+), ME302(F), ME304(C), ME332(A), ME372(C), ME306(B+), ME308(P), ME312(B+),
,ME334(A), ME352(B),,,,,,,
LMAC15ME137,ME302(F), ME304(B+), ME368(B+), ME332(A+), ME306(O), ME308(B+), ME312(O), ME334(A),
,ME352(C),,,,,,,,
LMAC15ME138,ME302(F), ME304(B), ME368(B), ME332(A+), ME306(A), ME308(B), ME312(A), ME334(A),
,ME352(B),,,,,,,,
MAC15CE009,ME302(C), ME304(B), ME332(B), ME372(B+), ME306(B+), ME308(C), ME312(B+), ME334(B+),
MAC15EC022,ME302(B+), ME304(B), ME368(A), ME332(A+), ME306(O), ME308(A), ME312(A+), ME334(A+),
MAC15EC102,ME302(B), ME304(A+), ME374(B+), ME332(A+), ME306(O), ME308(B+), ME312(O), ME334(A),
MAC15ME001,ME302(F), ME304(F), ME374(C), ME332(A+), ME306(B+), ME308(C), ME312(B), ME334(A+),
MAC15ME002,ME302(F), ME304(F), ME368(C), ME332(B+), ME306(B), ME308(C), ME312(C), ME334(B+),
MAC15ME003,ME302(B+), ME304(B+), ME374(B), ME332(B+), ME306(B+), ME308(B+), ME312(B+), ME334(A),
MAC15ME004,HS300(Absent), ME302(FE), ME304(Absent), ME368(Absent), ME332(C), ME306(Absent),,,
MAC15ME005,ME302(C), ME304(P), ME332(B+), ME372(C), ME306(B+), ME308(C), ME312(B), ME334(A),
MAC15ME006,ME302(F), ME304(F), ME374(C), ME332(A), ME306(C), ME308(C), ME312(B+), ME334(A+),
MAC15ME007,ME302(F), ME304(B), ME332(A), ME372(B), ME306(B+), ME308(B), ME312(B+), ME334(A),
MAC15ME008,ME302(F), ME304(C), ME368(C), ME332(A), ME306(C), ME308(P), ME312(B), ME334(B+),
MAC15ME009,ME302(FE), ME304(F), ME368(C), ME332(C), ME306(FE), ME308(FE), ME312(FE), ME334(C),
MAC15ME010,ME302(B+), ME304(B), ME332(O), ME372(B+), ME306(O), ME308(B+), ME312(A+), ME334(A),
MAC15ME011,ME302(B+), ME304(B), ME332(B+), ME372(B+), ME306(A+), ME308(B), ME312(A+), ME334(A),
MAC15ME012,ME302(F), ME304(C), ME374(C), ME332(B+), ME306(B), ME308(B), ME312(B), ME334(A+),
MAC15ME013,ME302(C), ME304(C), ME332(C), ME372(B), ME306(A+), ME308(C), ME312(B+), ME334(A),
MAC15ME014,ME302(F), ME304(C), ME332(B), ME372(C), ME306(C), ME308(C), ME312(C), ME334(A),
MAC15ME015,ME302(C), ME304(F), ME332(B+), ME372(C), ME306(B+), ME308(C), ME312(A), ME334(A),
MAC15ME016,ME302(F), ME304(Absent), ME368(P), ME332(C), ME306(Absent), ME308(FE), ME312(F),,
MAC15ME017,ME302(B), ME304(B+), ME374(A+), ME332(B+), ME306(A+), ME308(B+), ME312(O),,
MAC15ME018,ME302(C), ME304(C), ME332(B), ME372(A), ME306(B+), ME308(B+), ME312(A), ME334(B+),
MAC15ME019,ME302(FE), ME304(F), ME332(B), ME372(F), ME306(C), ME308(C), ME312(FE), ME334(B+),
MAC15ME020,ME302(F), ME304(F), ME374(F), ME332(A+), ME306(B+), ME308(C), ME312(B), ME334(A+),
MAC15ME021,ME302(F), ME304(F), ME374(F), ME332(B), ME306(C), ME308(F), ME312(B), ME334(B+),
MAC15ME022,ME302(F), ME304(F), ME368(B), ME332(B+), ME306(F), ME308(C), ME312(C), ME334(B+),
MAC15ME023,ME302(B), ME304(B), ME374(B+), ME332(O), ME306(A+), ME308(B+), ME312(A), ME334(O),
MAC15ME024,ME302(B), ME304(B+), ME374(A+), ME332(O), ME306(A+), ME308(A+), ME312(A+),,
MAC15ME025,ME302(C), ME304(C), ME332(B), ME372(B), ME306(B+), ME308(C), ME312(B+), ME334(B),
MAC15ME027,ME302(B), ME304(B), ME332(O), ME372(A+), ME306(A+), ME308(B+), ME312(A+), ME334(A),
MAC15ME028,ME302(FE), ME304(C), ME332(B+), ME372(FE), ME306(B), ME308(FE), ME312(FE), ME334(C),
MAC15ME029,ME302(A), ME304(B+), ME374(O), ME332(O), ME306(O), ME308(O), ME312(O), ME334(A),
MAC15ME030,ME302(B), ME304(C), ME374(B), ME332(O), ME306(A), ME308(B+), ME312(A), ME334(A+),
MAC15ME031,ME302(C), ME304(B), ME374(B+), ME332(B+), ME306(B+), ME308(B+), ME312(A), ME334(A+),
MAC15ME032,ME302(B+), ME304(B), ME374(C), ME332(O), ME306(B+), ME308(B), ME312(B+), ME334(A),
MAC15ME033,ME302(C), ME304(F), ME332(B+), ME372(A), ME306(B+), ME308(B+), ME312(A), ME334(B+),
MAC15ME034,ME302(P), ME304(C), ME332(B+), ME372(C), ME306(C), ME308(F), ME312(F), ME334(B+),
MAC15ME035,ME302(C), ME304(B), ME374(F), ME332(B+), ME306(B), ME308(C), ME312(B), ME334(B+),
MAC15ME036,ME302(F), ME304(C), ME332(B+), ME372(C), ME306(B), ME308(B), ME312(B+), ME334(A),
MAC15ME037,ME302(C), ME304(B), ME374(F), ME332(B+), ME306(B+), ME308(C), ME312(B+), ME334(A),
MAC15ME038,ME302(B+), ME304(B), ME374(B+), ME332(O), ME306(O), ME308(A), ME312(A+), ME334(O),
MAC15ME039,ME302(F), ME304(B), ME374(C), ME332(A+), ME306(B+), ME308(B), ME312(B), ME334(B+),
MAC15ME040,ME302(F), ME304(F), ME368(P), ME332(B), ME306(C), ME308(F), ME312(P), ME334(A),
MAC15ME041,ME302(F), ME304(B), ME368(B+), ME332(B+), ME306(B+), ME308(B), ME312(F), ME334(B+),
MAC15ME042,ME302(C), ME304(F), ME368(C), ME332(A+), ME306(B), ME308(F), ME312(B), ME334(B+),
MAC15ME043,ME302(C), ME304(B), ME368(B+), ME332(B+), ME306(A), ME308(B+), ME312(B+), ME334(A),
MAC15ME044,ME302(F), ME304(F), ME374(C), ME332(B+), ME306(B+), ME308(C), ME312(B+), ME334(B+),
MAC15ME045,ME302(B), ME304(B), ME374(A), ME332(O), ME306(A+), ME308(B+), ME312(O), ME334(O),
MAC15ME046,ME302(B), ME304(C), ME368(A), ME332(A+), ME306(A), ME308(C), ME312(A+), ME334(O),
MAC15ME047,ME302(F), ME304(C), ME368(B+), ME332(B+), ME306(B+), ME308(B), ME312(B), ME334(A),
MAC15ME048,ME302(C), ME304(B), ME374(C), ME332(O), ME306(B+), ME308(B), ME312(B+), ME334(A+),
MAC15ME049,ME302(F), ME304(P), ME332(C), ME372(P), ME306(B), ME308(F), ME312(B), ME334(B+),
MAC15ME050,ME302(A+), ME304(O), ME374(A), ME332(O), ME306(A+), ME308(A+), ME312(O), ME334(O),
MAC15ME051,ME302(C), ME304(F), ME368(P), ME332(A+), ME306(B), ME308(C), ME312(F), ME334(B+),
MAC15ME052,ME302(C), ME304(B+), ME374(B+), ME332(O), ME306(A+), ME308(A+), ME312(A), ME334(O),
MAC15ME053,ME302(F), ME304(F), ME368(C), ME332(C), ME306(B), ME308(B), ME312(B+), ME334(B+),
MAC15ME054,ME302(F), ME304(F), ME368(P), ME332(B+), ME306(C), ME308(F), ME312(B), ME334(B),
MAC15ME055,ME302(B), ME304(B+), ME374(B+), ME332(B), ME306(A), ME308(B), ME312(B+), ME334(A+),
MAC15ME056,ME302(B+), ME304(A), ME374(B+), ME332(O), ME306(O), ME308(A), ME312(A), ME334(B+),
MAC15ME057,ME302(F), ME304(C), ME332(B+), ME372(C), ME306(B), ME308(B), ME312(B+), ME334(A),
MAC15ME058,ME302(B), ME304(B+), ME374(C), ME332(A), ME306(A+), ME308(B+), ME312(B), ME334(A),
MAC15ME059,ME302(FE), ME304(F), ME332(C), ME372(F), ME306(FE), ME308(FE), ME312(F), ME334(B+),
MAC15ME060,ME302(P), ME304(B), ME332(B+), ME372(B), ME306(B+), ME308(B), ME312(B+), ME334(A),
MAC15ME061,ME302(B+), ME304(B+), ME332(O), ME372(A+), ME306(O), ME308(A+), ME312(O), ME334(A),
MAC15ME062,ME302(C), ME304(B), ME374(B), ME332(B+), ME306(B+), ME308(B+), ME312(B), ME334(A),
MAC15ME063,ME302(B), ME304(B+), ME368(B+), ME332(O), ME306(A+), ME308(B+), ME312(O), ME334(A),
MAC15ME064,ME302(B+), ME304(F), ME332(A+), ME372(B), ME306(B+), ME308(B), ME312(B+), ME334(A),
MAC15ME065,ME302(F), ME304(F), ME374(F), ME332(A+), ME306(B), ME308(F), ME312(B), ME334(A+),
MAC15ME066,ME302(F), ME304(F), ME368(B), ME332(B+), ME306(B), ME308(B), ME312(B), ME334(A),
MAC15ME067,ME302(B), ME304(B+), ME332(O), ME372(A+), ME306(O), ME308(A), ME312(A+), ME334(A),
MAC15ME068,ME302(C), ME304(B), ME374(C), ME332(C), ME306(B+), ME308(C), ME312(B+), ME334(B+),
MAC15ME069,HS300(B), ME302(B), ME304(B), ME368(F), ME332(B+), ME306(B), ME308(B), ME312(B),
MAC15ME070,ME302(B), ME304(B+), ME332(A+), ME372(O), ME306(A+), ME308(A), ME312(A+), ME334(O),
MAC15ME071,ME302(B), ME304(C), ME368(C), ME332(A+), ME306(B+), ME308(B), ME312(B), ME334(B+),
MAC15ME072,ME302(B), ME304(B), ME374(B), ME332(B+), ME306(B+), ME308(B), ME312(A), ME334(A),
MAC15ME073,ME302(B+), ME304(A), ME374(B+), ME332(A+), ME306(B+), ME308(B), ME312(A+), ME334(B+),
MAC15ME074,ME302(B), ME304(B+), ME332(B), ME372(B+), ME306(A), ME308(B), ME312(B+), ME334(A),
MAC15ME075,ME302(B+), ME304(A), ME368(B), ME332(A+), ME306(B+), ME308(B), ME312(A), ME334(A+),
MAC15ME076,ME302(C), ME304(F), ME332(B+), ME372(B), ME306(C), ME308(F), ME312(B), ME334(A),
MAC15ME078,ME302(F), ME304(F), ME332(B+), ME372(B), ME306(B+), ME308(C), ME312(C), ME334(A),
MAC15ME079,ME302(B), ME304(B), ME374(B), ME332(A), ME306(A+), ME308(B+), ME312(B+), ME334(A+),
MAC15ME080,ME302(B), ME304(B), ME374(B+), ME332(O), ME306(B+), ME308(B+), ME312(A+), ME334(A),
MAC15ME081,ME302(C), ME304(C), ME332(A), ME372(B+), ME306(A+), ME308(B+), ME312(A), ME334(A),
MAC15ME082,ME302(F), ME304(C), ME332(B+), ME372(A+), ME306(B+), ME308(B), ME312(B+), ME334(A+),
MAC15ME083,ME302(C), ME304(C), ME332(A), ME372(B), ME306(C), ME308(C), ME312(B+), ME334(A+),
MAC15ME084,ME302(F), ME304(F), ME374(F), ME332(B+), ME306(C), ME308(F), ME312(C), ME334(B),
MAC15ME085,ME302(C), ME304(B), ME332(O), ME372(B+), ME306(B+), ME308(B+), ME312(B+), ME334(B+),
MAC15ME086,ME302(B+), ME304(B), ME332(B), ME372(B+), ME306(A), ME308(C), ME312(A), ME334(A),
MAC15ME087,ME302(B), ME304(F), ME368(B), ME332(A), ME306(C), ME308(C), ME312(B), ME334(A),
MAC15ME088,ME302(C), ME304(C), ME332(B+), ME372(B), ME306(A), ME308(B+), ME312(B+), ME334(A),
MAC15ME089,ME302(F), ME304(B), ME374(B), ME332(A), ME306(B), ME308(B), ME312(B+), ME334(B+),
MAC15ME090,ME302(P), ME304(F), ME368(C), ME332(A), ME306(B+), ME308(C), ME312(B+), ME334(B+),
MAC15ME091,ME302(C), ME304(C), ME368(B), ME332(A), ME306(B+), ME308(C), ME312(A+), ME334(A+),
MAC15ME092,ME302(F), ME304(F), ME332(B), ME372(B), ME306(B), ME308(C), ME312(C), ME334(B+),
MAC15ME093,ME302(C), ME304(B), ME374(C), ME332(A), ME306(B+), ME308(B), ME312(B+), ME334(A),
MAC15ME094,ME302(B), ME304(B+), ME332(B+), ME372(B+), ME306(A+), ME308(B), ME312(O), ME334(A),
MAC15ME095,ME302(C), ME304(C), ME332(B+), ME372(A), ME306(A+), ME308(B+), ME312(B+), ME334(A),
MAC15ME096,ME302(C), ME304(B+), ME332(B+), ME372(B+), ME306(A+), ME308(C), ME312(B+), ME334(A),
MAC15ME097,ME302(C), ME304(B), ME374(C), ME332(B+), ME306(B), ME308(B), ME312(B), ME334(A),
MAC15ME098,ME302(P), ME304(F), ME332(B+), ME372(C), ME306(B+), ME308(C), ME312(B+), ME334(A),
MAC15ME099,ME302(C), ME304(B), ME332(B+), ME372(B+), ME306(B+), ME308(C), ME312(A+), ME334(B+),
MAC15ME101,ME302(B), ME304(B+), ME332(O), ME372(B+), ME306(A+), ME308(B+), ME312(B+),,
MAC15ME102,ME302(F), ME304(C), ME368(B), ME332(A), ME306(B), ME308(B), ME312(B), ME334(A),
MAC15ME103,ME302(F), ME304(F), ME368(B), ME332(B+), ME306(B+), ME308(C), ME312(B+), ME334(A),
MAC15ME104,ME302(B), ME304(B+), ME332(B+), ME372(A), ME306(A), ME308(B+), ME312(B+), ME334(B+),
MAC15ME105,HS300(C), ME302(FE), ME304(F), ME368(P), ME332(C), ME306(FE), ME308(F), ME312(F),
MAC15ME106,HS300(F), ME302(F), ME304(F), ME368(C), ME332(B+), ME306(B+), ME308(FE), ME312(B),
MAC15ME107,ME302(B), ME304(B), ME368(A), ME332(A), ME306(A+), ME308(B+), ME312(A), ME334(A+),
MAC15ME109,ME302(F), ME304(C), ME374(C), ME332(B+), ME306(B), ME308(C), ME312(C), ME334(B+),
MAC15ME110,ME302(B), ME304(B), ME374(B), ME332(A), ME306(A), ME308(C), ME312(A+), ME334(A),
MAC15ME111,ME302(C), ME304(B), ME332(B+), ME372(B), ME306(B+), ME308(C), ME312(B+), ME334(A),
MAC15ME112,ME302(F), ME304(C), ME368(B), ME332(B+), ME306(B), ME308(C), ME312(A), ME334(A),
MAC15ME113,ME302(F), ME304(C), ME332(O), ME372(B+), ME306(A), ME308(B), ME312(B+), ME334(A+),
MAC15ME114,ME302(B), ME304(B+), ME332(B+), ME372(B+), ME306(A), ME308(B+), ME312(O), ME334(A),
MAC15ME115,ME302(C), ME304(B+), ME332(A), ME372(B+), ME306(B+), ME308(B+), ME312(A), ME334(B+),
MAC15ME117,ME302(F), ME304(C), ME368(B+), ME332(A), ME306(A), ME308(B), ME312(B+), ME334(B+),
MAC15ME118,ME302(B), ME304(F), ME332(B), ME372(B), ME306(B+), ME308(B), ME312(A+), ME334(B+),
MAC15ME119,ME302(F), ME304(F), ME368(C), ME332(B+), ME306(C), ME308(C), ME312(C), ME334(B+),
MAC15ME120,ME302(B), ME304(B), ME332(A), ME372(A), ME306(A+), ME308(B+), ME312(O), ME334(A),
MAC15ME121,ME302(B+), ME304(A+), ME332(B+), ME372(B+), ME306(O), ME308(B+), ME312(A+),,
MAC15ME122,ME302(C), ME304(C), ME374(B), ME332(A), ME306(B+), ME308(B+), ME312(B+), ME334(A+),
MAC15ME123,ME302(B), ME304(B), ME332(A), ME372(B+), ME306(A), ME308(B+), ME312(B), ME334(A),
MAC15ME124,ME302(F), ME304(C), ME332(A), ME372(B+), ME306(B), ME308(B+), ME312(B), ME334(B+),
MAC15ME125,ME302(B), ME304(B+), ME368(B+), ME332(A), ME306(A), ME308(B), ME312(B+), ME334(A+),
MAC15ME126,ME302(F), ME304(B), ME368(A), ME332(A), ME306(A+), ME308(B+), ME312(B+), ME334(A+),
ELECTRICAL AND ELECTRONICS ENGINEERING[Full Time],,,,,,,,,
Course Code,Course,,,,,,,,
EE306,POWER SYSTEM ANALYSIS,,,,,,,,
EE334,POWER ELECTRONICS & DRIVES LAB,,,,,,,,
EE308,ELECTRIC DRIVES,,,,,,,,
EE352,COMPREHENSIVE EXAM,,,,,,,,
HS300,PRINCIPLES OF MANAGEMENT,,,,,,,,
EE372,BIOMEDICAL INSTRUMENTATION,,,,,,,,
EE302,ELECTROMAGNETICS,,,,,,,,
EE368,SOFT COMPUTING,,,,,,,,
EE304,ADVANCED CONTROL THEORY,,,,,,,,
EE332,SYSTEMS AND CONTROL LAB,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
LMAC15EE123,HS300(F), EE302(F), EE304(F), EE306(F), EE308(F), EE372(F), EE332(P), EE334(C), EE352(P)
LMAC15EE124,HS300(O), EE302(C), EE304(A), EE306(B), EE308(B+), EE372(B), EE332(O), EE334(B+),
,EE352(B),,,,,,,,
LMAC15EE125,HS300(C), EE302(C), EE304(F), EE306(C), EE308(F), EE368(B), EE332(A), EE334(B+),
,EE352(B),,,,,,,,
LMAC15EE126,HS300(B+), EE302(C), EE304(F), EE306(C), EE308(B), EE372(C), EE332(A), EE334(A),
,EE352(C),,,,,,,,
LMAC15EE127,HS300(B+), EE302(F), EE304(C), EE306(C), EE308(C), EE372(C), EE332(B), EE334(A),
,EE352(B),,,,,,,,
