Reg_No,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,Sub7,Sub8,Sub9
CE306,,,,,,,,,
CE334,,,,,,,,,
CE308,,,,,,,,,
CE352,,,,,,,,,
HS300,,,,,,,,,
CE362,,,,,,,,,
CE302,,,,,,,,,
CE366,,,,,,,,,
CE368,,,,,,,,,
CE304,,,,,,,,,
CE332,,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
MAC15EC094,EC370(B), EC302(B), EC304(B+), EC306(B), EC308(C), EC312(B+), EC332(B+), EC334(B),
MAC15EC095,EC370(O), EC302(A+), EC304(A+), EC306(A), EC308(A+), EC312(A), EC332(A), EC334(B+),
MAC15EC096,EC302(B), EC304(B), EC306(F), EC308(F), EC312(B+), EC366(C), EC332(A+), EC334(O),
MAC15EC097,EC370(B), EC302(B+), EC304(B+), EC306(B+), EC308(B+), EC312(B), EC332(A), EC334(B),
MAC15EC098,EC302(B+), EC304(A), EC306(B+), EC308(B+), EC312(B+), EC366(A), EC332(B+), EC334(B+),
MAC15EC099,EC302(C), EC304(C), EC306(C), EC308(B), EC312(F), EC366(B), EC332(B+), EC334(C),
MAC15EC100,EC370(F), EC302(B), EC304(C), EC306(C), EC308(F), EC312(C), EC332(B), EC334(B+),
MAC15EC101,EC370(F), EC302(FE), EC304(FE), EC306(F), EC308(F), EC312(F), EC332(B), EC334(C),
MAC15EC103,EC302(FE), EC304(F), EC306(F), EC308(FE), EC312(Absent), EC366(FE), EC332(B+),,
MAC15EC104,EC370(B), EC302(C), EC304(B), EC306(C), EC308(C), EC312(B+), EC332(B), EC334(B),
MAC15EC105,EC370(F), EC302(FE), EC304(P), EC306(FE), EC308(F), EC312(F), EC332(B+), EC334(A),
MAC15EC106,EC302(A), EC304(A+), EC306(A), EC308(A), EC312(B), EC366(B+), EC332(A+), EC334(B),
MAC15EC107,EC370(F), EC302(F), EC304(B), EC306(C), EC308(C), EC312(B), EC332(B), EC334(B),
MAC15EC108,EC302(B+), EC304(B), EC306(B), EC308(B), EC312(C), EC366(B), EC332(B+), EC334(O),
MAC15EC109,EC302(FE), EC304(F), EC306(FE), EC308(FE), EC312(FE), EC366(F), EC332(C), EC334(P),
MAC15EC110,EC370(F), EC302(B+), EC304(C), EC306(C), EC308(F), EC312(F), EC332(B+), EC334(C),
MAC15EC111,EC302(A), EC304(B+), EC306(B+), EC308(B), EC312(B), EC366(B), EC332(B+), EC334(A),
MAC15EC112,EC302(C), EC304(C), EC306(C), EC308(F), EC312(C), EC366(C), EC332(B), EC334(A),
MAC15EC113,HS300(B), EC302(C), EC304(C), EC306(FE), EC308(C), EC312(C), EC366(C), EC332(C),
MAC15EC114,EC302(B), EC304(C), EC306(B), EC308(C), EC312(B), EC366(C), EC332(B+), EC334(A+),
MAC15EC115,EC302(B+), EC304(A), EC306(B+), EC308(B+), EC312(B+), EC366(A), EC332(B+), EC334(B),
MAC15EC116,EC302(F), EC304(C), EC306(C), EC308(F), EC312(C), EC366(B), EC332(B+), EC334(B),
MAC15EC117,EC302(B), EC304(B), EC306(B), EC308(B+), EC312(B+), EC366(B+), EC332(B+), EC334(B),
MAC15EC118,EC370(F), EC302(B), EC304(B+), EC306(B), EC308(B), EC312(B+), EC332(A), EC334(B),
MAC15EC119,EC302(C), EC304(B), EC306(C), EC308(B), EC312(B+), EC366(B), EC332(B), EC334(B+),
MAC15EC120,EC370(C), EC302(B), EC304(B+), EC306(C), EC308(B), EC312(B), EC332(B+), EC334(A),
MAC15EC121,EC370(F), EC302(F), EC304(C), EC306(F), EC308(F), EC312(B), EC332(B+), EC334(B),
MAC15EC122,EC370(B+), EC302(B+), EC304(B+), EC306(B+), EC308(B+), EC312(O), EC332(A+), EC334(B),
MAC15EC123,EC302(B), EC304(B), EC306(B), EC308(B+), EC312(B), EC366(B+), EC332(A), EC334(A),
MAC15EC124,EC302(B), EC304(B+), EC306(B), EC308(B+), EC312(B), EC366(B), EC332(B+), EC334(A),
MAC15EC125,EC302(A+), EC304(B+), EC306(A), EC308(B+), EC312(A+), EC366(B+), EC332(A), EC334(B),
MAC15EC126,EC302(B+), EC304(B+), EC306(B), EC308(B), EC312(B+), EC366(B+), EC332(B+), EC334(B),
MAC15EC127,EC302(C), EC304(FE), EC306(FE), EC308(P), EC312(F), EC366(F), EC332(B), EC334(B+),
MAC15EC128,EC302(B+), EC304(B+), EC306(B+), EC308(A), EC312(A+), EC366(B+), EC332(A+), EC334(O),
MAC15EE072,EC302(B+), EC304(A), EC306(B+), EC308(B+), EC312(B+), EC366(B+), EC332(B+), EC334(B+),
Course Code,Course,,,,,,,,
CS306,COMPUTER NETWORKS,,,,,,,,
CS334,NETWORK PROGRAMMING LAB,,,,,,,,
CS308,SOFTWARE ENGINEERING AND PROJECT,,,,,,,,
CS352,COMPREHENSIVE EXAM,,,,,,,,
HS300,PRINCIPLES OF MANAGEMENT,,,,,,,,
CS302,DESIGN AND ANALYSIS OF ALGORITHMS,,,,,,,,
CS368,WEB TECHNOLOGIES,,,,,,,,
CS304,COMPILER DESIGN,,,,,,,,
CS332,MICROPROCESSOR LAB,,,,,,,,
Register No,Course Code (Grade),,,,,,,,
LMAC15CS062,HS300(F), CS302(F), CS304(F), CS306(F), CS308(F), CS368(F), CS332(P), CS334(C), CS352(C)
LMAC15CS063,HS300(C), CS306(F), CS308(FE), CS368(FE), CS332(I), CS334(I),,,
LMAC15CS064,HS300(B), CS302(C), CS304(F), CS306(B+), CS308(C), CS368(C), CS332(B), CS334(B+),
LMAC15CS065,HS300(F), CS302(FE), CS304(F), CS306(F), CS308(F), CS368(F), CS332(B),,
LMAC15CS066,HS300(C), CS302(C), CS304(F), CS306(C), CS308(B), CS368(F), CS332(C), CS334(P),
LMAC15CS067,HS300(B+), CS302(B), CS304(B), CS306(B+), CS308(C), CS368(B+), CS332(O), CS334(A+),
MAC15CS001,HS300(B), CS302(B), CS304(B), CS306(B), CS308(C), CS368(B+), CS332(A+), CS334(A),
MAC15CS002,HS300(B), CS302(B), CS304(C), CS306(B), CS308(C), CS368(A), CS332(O), CS334(B+),
MAC15CS003,HS300(C), CS302(B+), CS304(B), CS306(B+), CS308(B), CS368(A), CS332(O), CS334(O),
MAC15CS004,HS300(B), CS302(B), CS304(B), CS306(B), CS308(B), CS368(B), CS332(O), CS334(A+),
MAC15CS005,HS300(B), CS302(B), CS304(F), CS306(B), CS308(C), CS368(B), CS332(B+), CS334(O),
MAC15CS007,HS300(B), CS302(B+), CS304(B+), CS306(B+), CS308(B+), CS368(B+), CS332(O), CS334(O),
MAC15CS008,HS300(B), CS302(C), CS304(C), CS306(C), CS308(P), CS368(C), CS332(B), CS334(B),
MAC15CS009,HS300(B+), CS302(B+), CS304(B+), CS306(B+), CS308(B+), CS368(A+), CS332(B+), CS334(B),
MAC15CS010,HS300(B), CS302(B+), CS304(B), CS306(B), CS308(C), CS368(C), CS332(O), CS334(B+),
MAC15CS011,HS300(F), CS302(B), CS304(B+), CS306(C), CS308(P), CS368(B), CS332(B+), CS334(B+),
MAC15CS012,HS300(B+), CS302(B+), CS304(B+), CS306(B+), CS308(B), CS368(B+), CS332(A), CS334(B+),
MAC15CS013,HS300(C), CS302(B), CS304(F), CS306(C), CS308(B), CS368(C), CS332(B), CS334(B),
MAC15CS014,HS300(A), CS302(B+), CS304(B), CS306(A), CS308(B+), CS368(A), CS332(O), CS334(A+),
MAC15CS015,HS300(B), CS302(B+), CS304(B+), CS306(B+), CS308(B), CS368(B+), CS332(A), CS334(B),
MAC15CS016,HS300(A), CS302(B+), CS304(B+), CS306(B+), CS308(B+), CS368(B), CS332(B), CS334(B),
MAC15CS017,HS300(B), CS302(B), CS304(C), CS306(B), CS308(B), CS368(B+), CS332(A), CS334(A),
MAC15CS018,HS300(B), CS302(B+), CS304(B), CS306(B+), CS308(B+), CS368(B+), CS332(B+), CS334(B+),
MAC15CS019,HS300(C), CS302(C), CS304(F), CS306(C), CS308(F), CS368(C), CS332(B+), CS334(B),
MAC15CS020,HS300(B+), CS302(B), CS304(B+), CS306(B), CS308(C), CS368(B+), CS332(O), CS334(B+),
MAC15CS021,HS300(B+), CS302(B), CS304(C), CS306(B), CS308(C), CS368(B+), CS332(O), CS334(A),
MAC15CS022,HS300(F), CS302(B), CS304(F), CS306(F), CS308(F), CS368(P), CS332(B+), CS334(B),
